DRA, HED, TON, ZGR, RON, LUN
DRA, MCG, FLE, SYR, RON, HAG
DRA, MCG, HAG, TRE, HER, FLE
DUM, HAG, FLE, GRY, HER, SYR
DUM, HED, FLE, LUN, ZGR, DRA
DUM, HED, GRY, SYR, FLE, HAR
DUM, HED, RON, DRA, LUN, SYR
FLE, DRA, HAR, TRE, HER, TON
FLE, DRA, RON, ZGR, HED, LUN
FLE, HAR, DUM, ZGR, HED, GRY
GRY, MCG, HAG, TRE, HAR, RON
HAG, RON, GRY, SYR, MCG, TRE
HAR, MCG, GRY, SYR, ZGR, DUM
HED, DUM, MCG, ZGR, HAR, TON
HED, LUN, HAR, TON, SYR, DUM
HER, DRA, TON, SYR, HAR, DUM
HER, DUM, LUN, TRE, HAG, GRY
HER, LUN, FLE, TON, TRE, HED
HER, ZGR, MCG, SYR, HAR, RON
LUN, HER, GRY, SYR, DRA, HAG
LUN, RON, MCG, TRE, HED, TON
MCG, ZGR, GRY, TRE, HAG, RON
RON, ZGR, LUN, TRE, HER, TON
TON, HAG, DRA, ZGR, FLE, MCG
TON, HAR, HER, TRE, HAG, GRY
